City,Latitude,Longitude,Admin_Name,Capital,Population
Hajdúböszörmény,47.6667,21.5167,Hajdú-Bihar,minor,30704
Pápa,47.3237,17.468,Veszprém,minor,30382
Budaörs,47.4607,18.958,Pest,,29018
Gyula,46.65,21.2833,Békés,minor,29308
Kiskunfélegyháza,46.7052,19.85,Bács-Kiskun,minor,29306
Gyöngyös,47.7833,19.9333,Heves,minor,28179
Esztergom,47.7856,18.7403,Komárom-Esztergom,minor,28026
Ajka,47.1006,17.5522,Veszprém,minor,27995
Szentendre,47.7044,19.0686,Pest,minor,27534
Orosháza,46.5667,20.6667,Békés,minor,27492
Szentes,46.651,20.258,Csongrád-Csanád,minor,27080
Kiskunhalas,46.4319,19.4883,Bács-Kiskun,minor,26584
Siófok,46.9239,18.0901,Somogy,minor,26451
Jászberény,47.5,19.9167,Jász-Nagykun-Szolnok,minor,26540
Kazincbarcika,48.2531,20.6456,Borsod-Abaúj-Zemplén,minor,24905
Gyál,47.3861,19.2192,Pest,minor,24193
Dunaharaszti,47.3539,19.0948,Pest,,23536
Hajdúszoboszló,47.4333,21.3833,Hajdú-Bihar,minor,24175
Tata,47.6526,18.3238,Komárom-Esztergom,minor,23479
Nagyk?rös,47.0332,19.784,Pest,minor,23424
Komló,46.1912,18.2613,Baranya,minor,22635
